Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
581.0856108,-0.026336219,0.162805721,9.763554573
581.1356108,-0.026336219,0.172382519,9.749189377
581.1856108,-0.021547815,0.16759412,9.761159897
581.2356108,-0.02873042,0.165199921,9.768342972
581.2856108,-0.021547815,0.169988319,9.761159897
581.3356108,-0.019153614,0.174776718,9.770736694
581.3856108,-0.023942016,0.16759412,9.761159897
581.4356108,-0.016759412,0.160411507,9.768342972
581.4856108,-0.033518825,0.16759412,9.768342972
581.5356108,-0.023942016,0.177170932,9.773131371
581.5856108,-0.019153614,0.165199921,9.775525093
581.6356108,-0.026336219,0.169988319,9.761159897
581.6856108,-0.02873042,0.160411507,9.777919769
581.7356108,-0.019153614,0.16759412,9.761159897
581.7856108,-0.02873042,0.165199921,9.761159897
581.8356108,-0.026336219,0.172382519,9.777919769
581.8856108,-0.02873042,0.160411507,9.770736694
581.9356108,-0.023942016,0.16759412,9.749189377
581.9856108,-0.031124622,0.165199921,9.749189377
582.0356108,-0.021547815,0.177170932,9.763554573
582.0856108,-0.011971008,0.162805721,9.775525093
582.1356108,-0.016759412,0.18435353,9.770736694
582.1856108,-0.02873042,0.174776718,9.751583099
582.2356108,-0.019153614,0.172382519,9.770736694
582.2856108,-0.021547815,0.169988319,9.758766174
582.3356108,-0.019153614,0.18435353,9.770736694
582.3856108,-0.026336219,0.160411507,9.761159897
582.4356108,-0.023942016,0.16759412,9.775525093
582.4856108,-0.02873042,0.160411507,9.761159897
582.5356108,-0.02873042,0.169988319,9.763554573
582.5856108,-0.031124622,0.174776718,9.765948296
582.6356108,-0.026336219,0.169988319,9.751583099
582.6856108,-0.026336219,0.158017308,9.770736694
582.7356108,-0.026336219,0.165199921,9.758766174
582.7856108,-0.023942016,0.177170932,9.775525093
582.8356108,-0.011971008,0.172382519,9.751583099
582.8856108,-0.023942016,0.172382519,9.758766174
582.9356108,-0.023942016,0.160411507,9.751583099
582.9856108,-0.019153614,0.16759412,9.761159897
583.0356108,-0.023942016,0.165199921,9.756371498
583.0856108,-0.019153614,0.172382519,9.756371498
583.1356108,-0.016759412,0.174776718,9.761159897
583.1856108,-0.01436521,0.174776718,9.773131371
583.2356108,-0.019153614,0.169988319,9.751583099
583.2856108,-0.019153614,0.169988319,9.746794701
583.3356108,-0.023942016,0.162805721,9.765948296
583.3856108,-0.021547815,0.174776718,9.756371498
583.4356108,-0.033518825,0.16759412,9.749189377
583.4856108,-0.031124622,0.169988319,9.768342972
583.5356108,-0.026336219,0.165199921,9.753977776
583.5856108,-0.021547815,0.165199921,9.751583099
583.6356108,-0.026336219,0.16759412,9.756371498
583.6856108,-0.031124622,0.165199921,9.758766174
583.7356108,-0.026336219,0.165199921,9.753977776
583.7856108,-0.023942016,0.165199921,9.749189377
583.8356108,-0.031124622,0.179565132,9.758766174
583.8856108,-0.026336219,0.169988319,9.742006302
583.9356108,-0.019153614,0.169988319,9.753977776
583.9856108,-0.019153614,0.169988319,9.749189377
584.0356108,-0.038307227,0.153228909,9.763554573
584.0856108,-0.019153614,0.172382519,9.744400978
584.1356108,-0.021547815,0.165199921,9.753977776
584.1856108,-0.026336219,0.174776718,9.758766174
584.2356108,-0.016759412,0.169988319,9.751583099
584.2856108,-0.026336219,0.165199921,9.768342972
584.3356108,-0.031124622,0.172382519,9.753977776
584.3856108,-0.019153614,0.179565132,9.749189377
584.4356108,-0.021547815,0.165199921,9.756371498
584.4856108,-0.031124622,0.172382519,9.746794701
584.5356108,-0.02873042,0.165199921,9.753977776
584.5856108,-0.023942016,0.165199921,9.753977776
584.6356108,-0.019153614,0.177170932,9.753977776
584.6856108,-0.023942016,0.16759412,9.758766174
584.7356108,-0.021547815,0.16759412,9.753977776
584.7856108,-0.021547815,0.16759412,9.749189377
584.8356108,-0.019153614,0.174776718,9.746794701
584.8856108,-0.016759412,0.172382519,9.753977776
584.9356108,-0.019153614,0.172382519,9.758766174
584.9856108,-0.016759412,0.174776718,9.758766174
